"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","WEB","0","Inicio","1","0","Login Agencia (prueba negativa de permisos)","0"
"0","BO","0","Reservas / Cotizaciones","1","0","Validar Inbox de Reservas","0"
"0","WEB","0","Inicio","1","0","Reservar Servicios","0"
"0","WEB","1","Inicio","0","0","Reservar Hoteles","0"
"0","BO","0","Reservas / Cotizaciones","1","0","Validar Inbox de Cotizaciones","0"
"0","WEB","1","Tarifario","0","0","Tarifario Cruceros","0"
"0","WEB","0","Tarifario","1","0","Tarifario Excursiones","0"
"0","BO","0","Generar File","1","0","Generar File desde Inbox","0"
"0","WEB","0","Multidestino","1","0","Reserva Multidestino (Triángulo Argentino)","0"
"0","BO","0","Login BackOffice","1","0","Login usuario Administrador","0"
"0","WEB","0","Inicio","1","0","Login Administrador","0"
"0","WEB","1","Tarifario","0","0","Tarifario Paquetes","0"
"0","BO","0","Crear Orden de Pago / Cobro","1","0","Crear Orden de Cobro","0"
"0","WEB","0","Tarifario","1","0","Tarifario Traslados","0"
"0","WEB","0","Inicio","1","0","Buscar Ofertas","0"
"0","BO","1","Crear Orden de Pago / Cobro","0","0","Crear Orden de Pago","0"
"0","WEB","1","Tarifario","0","0","Tarifario Ofertas","0"
"0","BO","0","Login BackOffice","1","0","Login usuario No-Administrador","0"
"0","WEB","0","Tarifario","1","0","Tarifario Hoteles","0"
"0","WEB","0","Tarifario","1","0","Tarifario Cenashow","0"
